ปี,จังหวัด,รายการ,ประเภท,อำเภอ,จำนวน,หน่วย,ที่มา
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, บาเจาะ,3.308,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, บาเจาะ,4.676,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, บาเจาะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, บาเจาะ,29.156,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, บาเจาะ,0.106,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, บาเจาะ,0.725,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, บาเจาะ,0.047,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, ยี่งอ,3.778,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, ยี่งอ,2.117,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, ยี่งอ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, ยี่งอ,10.812,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, ยี่งอ,0.063,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, ยี่งอ,0.119,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, ยี่งอ,0.026,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, ระแงะ,8.796,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, ระแงะ,7.086,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, ระแงะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, ระแงะ,17.586,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, ระแงะ,0.575,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, ระแงะ,0.412,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, ระแงะ,0.109,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, รือเสาะ,5.128,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, รือเสาะ,3.755,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, รือเสาะ,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, รือเสาะ,10.679,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, รือเสาะ,0.556,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, รือเสาะ,0.607,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อื่น ๆ, รือเสาะ,0.075,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,บุคคลธรรมดา, ศรีสาคร,1.673,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,นิติบุคคล, ศรีสาคร,1.601,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,การค้า, ศรีสาคร,0,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,มูลค่าเพิ่ม, ศรีสาคร,0.923,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,ธุรกิจเฉพาะ, ศรีสาคร,0.044,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
2565,นราธิวาส,รายได้จากการจัดเก็บภาษี,อากรแสตมป์, ศรีสาคร,0.2,ล้านบาท,สำนักงานสรรพากรพื้นที่นราธิวาส
