ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
47.0,Decade Resistance 0.001 W to <1 W,0.001 W to <1 W,As Specification,"7,000/knob",Direct measurement ,09030-10228
48.0,Decade Resistance 1 W to <1 MW,1 W to <1 MW,As Specification,"10,000/knob",Direct measurement ,09030-10229
49.0,Decade Resistance 1 MW to <10 TW,1 MW to <10 TW,As Specification,"10,000/knob",Direct measurement ,09030-10230
50.0,Standard Watt Converter,"Volt : 600 V
Current : 100 A
AC Power : 60 kW
Frequency : 50 Hz, 60 Hz
Power Factor : + 0 to 1",> 60 mW/VA,"18,000 to 39,500/item",,09050-10710
51.0,"AC Wattmeter, Digital Power Meter","Volt : 1000 V
Current : 80 A
AC Power : 80 kW
Frequency : 15 Hz to 450 Hz
Power Factor : + 0 to 1",> 100 mW/VA,"6,750 to 13,500/Channel",,09050-10711
52.0,"Energy Meter single phase/ three phase with pulse
","Active eneregy per phase  0.06525 Ws to 4,800,000 Ws
Voltage 15 V to 1000 V
Current 0.01 A to 80 A
Power Factor 1 to 0.087
(Inductive or Capacitive)
Frequency 45 Hz to 65 Hz
Measurement time 5s to 60 s  
",³ 60 mWs/ Vas to   ³ 665 mWs/ Vas,"single phase  5,000 to 35,000 / channel three phase  6,250 THB to 51,250 THB ",,09050-10712
53.0,Electrical Power Source,"Power 1.5 W to 60 kW 
Frequency 50 Hz to 60 Hz
Power Factor 1 to 0
(Inductive or Capacitive)
Voltage 3 V to 1000 V
Current 0.05 A to 100 A
Frequency 15 Hz to 6 kHz","Power ³ 70 mW/VA
Voltage ³ 30 mV/V
Current ³ 30 mA/A
Phase ³ 0.005o","9,000 to 45,000/item",,09050-10713
54.0,DC Power Meter,"Power: 1mW to 20 kW
Voltage : 100 mV to 1000 V
Current : 10 mA to 20 A",³ 40 mW/ W,"6,750 to 13,500/Channel",,09050-10714
55.0,Energy Source,"Eneregy 41.67 mWh  to 3.333 kWh
Power: 0.5 W to 20 kW
Voltage: 10 V to 1000 V
Current: 0.05 A to 20 A
Power Factor: 1
Frequency: 50 Hz to 60 Hz
Time : 5 minute to 10 minute",> 0.12 %,"5,000 to 15,000 / item",,09050-10715
56.0,"Three Phase Watt Meter,
Three Phase AC Power Meter,
Three Phase Comparator ","Power : 4.5 W to 240 kW
Voltage : 15 V to 1000 V
Current : 0.1 A to 80 A
Power Factor : 1 to 0 (Inductive, Capacitive)
Frequency : 50 Hz to 60 Hz","100 µW/VA to 370 µW/VA

","5,000 to 55,500 /Channel",,09050-10716
57.0,Single phase / Three phase energy meter ,"Energy : (0.0625 Wh to 5000 kWh) / phase
Power : (0.75 W to 50 kW) / phase
Voltage : 15 V to 1000 V
Current : 0.1 A to 50 A
Power Factor : 1 to 0.5 (Inductive ,Capacitive)
Frequency : 50 Hz to 60 Hz
Time : 300 sec to 100 hours","Single phase @ 300 s
515 µWh/Wh 
to 565 µWh/Wh
Three phase @ 300 s
570 µWh/Wh 
to 665 µWh/Wh","5,000 to 30,000 /Channel",,09050-10717
58.0,Single Phase / Three Phase Watt Meter,AC Power : 0 W to 172.8 kW (three phase),"0.12 % for single phase
0.20 % for three phase","5,000 to 25,000 / channel","High burden  
Direct measurement",09050-10718
59.0,AC Power Source (On-site),AC Power : 0.15 W to 76.8 kW,100 µW/W  to 215 µW/W ,"5,000 to 28,000 /Channel",Direct measurement,09050-30710
60.0,"Single phase energy meter,Single phase power meter,Three phase energy meter,Three phase power meter(On-site)",Energy : (0.01875 Wh to 76.8 kWh)/phase,Single/Three phase (? 5 A),"2,500 to10,000 /Channel","Comparison measurement
1. ? 5 A : single and three phases
2. > 5 A to 160 A : single phase",09050-30711
61.0,Phase Meter,Phase Meter Frequency : 15 Hz to 100 kHz Amplitde (rms) : 50 mV  to 120 V,> 0.01o ,"9,000 to 27,000/item",,09050-10920
62.0,Phase Source,Phase Angle : 0.000o to 999.999o Frequency : 10 Hz to 100 kHz Amplitde (rms) : 50 mV  to 120 V,> 0.005 o ,"18,000 to 45,000/item",,09050-10921
63.0,Phase Meter Current Shunt,Range : 0.1 A to 50 A Phase Angle : 0.000° to ± 180° Frequency : 16 Hz to 850 Hz,? 0.002 o ,"5,000 (5 pts)'+ 800 / point",,09050-10922
64.0,"Power Analyzer, Harmonics and Flicker","Output Voltage : 1020 V Output Current : 80 A Frequency : 20 Hz and  up to 1 kHz Harmonics : 100th, up to 6 kHz Flicker : 16 Hz to 9 kHz",Voltage > 100 mV/V Current > 150 mA/A Power > 200 mW/VA Frequency > 50 mHz/Hz,"6,750 to 13,500/channel",,09050-10930
65.0,"Power Ananlyzer, Dips/ Swells",Voltage: 10 V to 1000 V Current Current : 0.05 A to 20A  Dip/Swell amplitude : 10 % to 140 % of nominal amplitude  Time : 1 ms to 1 minute Frequency : 16 Hz to 850 Hz,³ 0.07 %,"2,250 to 9,000/ channel",,09050-10931
66.0,Harmonic Current Meter           ,"Current : 1 A to 120 A Fund. Frequency : 50 Hz and 60 Hz Harmonic current : 0.1 % to 10 % of fundamental Harmonics : 1st to 40th,  Har. Frequency : 50 Hz to 2.4 kHz","Harmonic < 1 % of Fundamental 
0.07 %
Harmonic ? 1 % of Fundamental 
5.80 % 

","5,000 to 27,500/ channel",High burden  Direct measurement,09050-10932
67.0,Harmonics Power Source,"Harmonics Power (0.0025 to 10) % 
of Fundamental Power  Power Factor of Harmonics
1 to 0.5, Inductive or Capacitive
 Harmonics order : 2nd to 100th Total Power : 20 W to 50 kW Total Voltage : 50 V to 1000 V Total Current : 0.8 A to 50 A Power Factor of Fundamental
1 to 0.5, Inductive or Capacitive Fundamental Frequency : 50 Hz to 60 Hz",0.32 mW/W to 8.2 mW/W,"10,000 THB/channel
(10 points)","1) Additional fee:
750 THB/ additional point
2) Digital sampling technique",09050-10933
68.0,DC Power Meter (20 A to 200 A),Power: 200 W to 200 kW Voltage : 10 V to 1000 V Current : 20 A to 200 A,160 µW/W to 325 µW/W,"7,500 THB (2 points) / channel","7,500 THB for 2 points
2,500 THB/point for additional point",09050-10719
69.0,Wattmeter,Power : 0 W to 12 kW,"50 µW/VA to 65 µW/VA
","5,000 THB to 25,000 THB / channel",Comparison measurement,09050-10720
70.0,"Energy Meter with Pulse 
(Single phase or Three phase)",Energy: 1.05 mWh to 833.3 Wh per phase,"90 µWh/Wh  
to 160 µWh/Wh","5,000 THB to 30,000 THB/ channel",Pulse comparison,09050-10721
71.0,"Wattmeter AC Power Meter
Wattmeter with AC Curent Clamp
AC Power Meter with AC Current Clamp
(80 A to 120 A)(1 phase or 3 phase)",Power : 0 W to 120 kW per phase Voltage: 15 V to 1000 V Current : 80 A to 120 A PF: 1 to 0 (inductive or Capacitive) Frequency : 50 Hz to 60 Hz,"135 µW/VA  
to 205 µW/VA
5.6 mW/W
to 6.8 mW/W  
","5,000 THB to 25,000 THB/ channel",,09050-10722
72.0,"Wattmeter with AC Curent Clamp
AC Power Meter with AC Current Clamp
(500 A to 6000 A)(1 phase or 3 phase)",Power : 3.75 kW to 6000 kW per phase,"
","7,500 THB for 1st point 3,750 THB/point 
for additional point / channel",Current coil used,09050-10723
73.0,Single Phase AC Wattmeter Single Phase AC Power Meter,Reactive Power : 0 var to 50 kvar,"60 µvar/VA  to 125 µvar/VA
","5,000 THB to 25,000 THB / channel",Direct measurement,09050-10724
74.0,"Three Phase AC Wattmeter 
Three Phase AC Power Meter
Three Phase Power Comparator",Reactive Power : 0 var to 150 kvar,"60 µvar/VA  
to 125 µvar/VA
","5,000 THB to 25,000 THB",Direct measurement,09050-10725
75.0,"Single Phase Energy Meter with Pulse Output
","Reactive Energy: 0.06525 vars to 4800000 vars varh





 Voltage: 15 V to 1000 V Current : 0.01 A to 80 A QF: 1 to 0.087 (inductive or capacitive) Frequency : 45 Hz to 65 Hz Time : 5 s to 60 s",³ 60 mvars/ Vas to,"5,000 to 35,000 THB/ channel",Pulse comparison,09050-10726
76.0,"Three Phase Energy Meter with Pulse Output
","Reactive Energy: 0.19575 vars to 14,400,000 vars varh





 Voltage: 15 V to 1000 V Current : 0.01 A to 80 A QF: 1 to 0.087 (inductive or capacitive) Frequency : 45 Hz to 65 Hz Time : 5 s to 60 s",³ 60 mvars/ Vas to  ³ 665 mvars/ Vas,"6,250 THB to 51,250 THB ",Pulse comparison,09050-10727
77.0,"Single Phase Energy Meter (No Pulse)
",Reactive Energy: 0.0625 varh to 16.667 kvarh Power: 0.75 var to 50 kvar Voltage: 15 V to 1000 V Current : 0.1 A to 50 A QF: 1 to 0.5 (inductive or capacitive) Frequency : 50 Hz to 60 Hz Time : 300 s to 1200 s,"200 µvarh/varh   to 600 µvarh/varh
","5,000 THB to 15,000 THB / channel",Energy Packet,09050-10728
78.0,"Three Phase Energy Meter (No Pulse)
",Reactive Energy: 0.1875 varh to 50 kvarh Power: 0.75 var to 50 kvar Voltage: 15 V to 1000 V Current : 0.1 A to 50 A QF: 1 to 0.5 (inductive or capacitive) Frequency : 50 Hz to 60 Hz,"200 µvarh/varh  to 600 µvarh/varh
","5,000 THB to 15,000 THB",Energy Packet,09050-10729
79.0,AC  Voltage  of Electrical Power Source ,"AC Voltage  0.1 V to 1000 V 
Frequency 10 Hz to 1 kHz
","30 µV/V  
","5,000 THB to 50,000 THB/ channel","Digital Sampling Watt Meter, DSWM Method",09050-10730
80.0,AC Current  of Electrical Power Source ,"AC Current  0.01A to 100 A  Frequency 10 Hz to 1 kHz

","40 µA/A  
","5,000 THB to 50,000 THB / channel","Digital Sampling Watt Meter, DSWM Method",09050-10731
81.0,"AC Voltage of AC power meter, or
AC wattmeter
",Voltage: 5 V to 1000 V Frequency: 16 Hz to 850 Hz,"0.049 mV/V  to 0.31 mV/V
","2,500 THB to 25,000 THB / channel",Direct measurement Method,09050-10732
82.0,"AC Current of AC power meter, or
AC wattmeter
",Current: 0.01 A to 20 A Frequency: 16 Hz to 850 Hz  Current: > 20 A  to  80 A Frequency: 40 Hz to 850 Hz,"0.061 mA/A  to 0.177 mA/A
","2,500 THB to 25,000 THB / channel",Direct measurement Method,09050-10733
83.0,"DC Power of Wattmeter
",Power : 0.01 mW to 20 kW Voltage: 0.01 V to 1000 V Current : 0.001 mA to 20 A,"0.15 mW/W   to 1.2 mW/W
","2,500 THB to 25,000 THB / channel",Direct measurement Method,09050-10734
84.0,"DC Voltage of Wattmeter
",Voltage: 0.01 V to 1000 V,0.02 mV/V  to 0.16 mV/V,"2,500 THB to 25,000 THB / channel",Direct measurement Method,09050-10735
85.0,"DC Current of Wattmeter
",Current: 0.01 A to 20 A,0.15 mA/A to 1.2 mA/A,"2,500 THB to 25,000 THB/ channel",Direct measurement Method,09050-10736
86.0,AC Voltage for VT with Wattmeter,AC Voltage  5 V to 1000 V,0.051 mV/Vto 0.086 mV/V,"5,000 THB to 15,000 THB / channel",Direct measurement ,09050-10737
87.0,Harmonic Voltage for Power Source,"Voltage 1 V to 1000 V Fund. Freq. 45 Hz to 65 Hz Harmonic Amplitude (0.1 % to 25 %) of Fundamental Harmonic order 0, 2nd to 100th Harmonic Frequency DC to 6 kHz",45 mV/V,"5,000 THB to 50,000 THB/ item",Digital Sampling Technique,09050-10934
88.0,Harmonic Current for Power Source,"Current 0.01 A to 100 A Fund. Freq. 45 Hz to 65 Hz Harmonic Amplitude (0.1 % to 25 %) of Fundamental Harmonic order 0, 2nd to 100th Harmonic Frequency DC to 6 kHz",50 mA/A,"5,000 THB to 50,000 THB / channel",Digital Sampling Technique,09050-10935
89.0,Harmonic source (Voltage harmonic),Voltage (harmonic) : 0.01 V to 200 V Total rms voltage  : 10 V to 1000 V Fundamental frequency : 50 Hz to 60 Hz Harmonic amplitude  : 0.1 % to 20 % of fundamental Phase shift of harmonic : 0 degree Harmonic order : o to 100th Harmonic frequency : 0 Hz to 6 kHz,0.0045 V/V  to 3.5 V/V,"6,250 THB to  11,250 THB / channel",Direct measurement,09050-10937
90.0,Harmonic source (Current harmonic),Current (harmonic) : 0.1 mA to 4 A conditions Total rms current: 0.1 A to 20 A Harmonic amplitude  : 0.1 % to 20 % of fundamental Phase shift of harmonic : 0 degree Harmonic order : o to 100th Harmonic frequency : 0 Hz to 6 kHz,0.0037 A/A to 8.8 A/A,"7,500 THB to  14,250 THB  / channel",Direct measurement,09050-10938
91.0,AC Current for CT with Wattmeter,AC Current	: 0.01 A to 120 A Frequency	: 16 Hz to 850 Hz,0.011 % to 0.028 %,"5,000 THB to 15,000 THB / channel",Direct measurement ,09050-10738
92.0,Flicker impedance of power quality measurement system   ,"Nominal impedance @ 50 Hz 
(0.24 +j0.15) W for line impedance 
 (016 + j0.10) W for neutral impedance",0.03%,"5,000 THB to 15,000 THB / channel",Volt-Ampere method,09050-10936
