ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
233.0,"Articulated Arm Coordinate Measuring Machines,
(AACMM) using tactile probes verification",Up to 2.5 m,"0.06 um, for probing test

Q[1.00 um, 2.32E-06L]
for length measurement
erro","75,050/piece",ISO10360-12,08051 - 11041
234.0,Scale Calibrator,Up to 1000 mm ,"Q[0.006 mm, 15E-06 L]","5,630/piece","Cal by glass scale
*Depend on the quality of artifact",08081 - 30913
235.0,Scale Calibrator,>1000 to 2000 mm ,"Q[0.0085 mm, 21E-06 L]","8,445/piece","Cal by glass scale
*Depend on the quality of artifact",08081 - 30914
236.0,Flatness Tester,,³ 40 nm,"200,000/ea.","The flatness tester system, reference flat, software, including training",08061 - 10701
237.0,Monodisperse Polystyrene Particle,Diameter 150 nm,10 mL,"5,000/ea.",TRM-M-9001,08091 - 10101
238.0,Monodisperse Polystyrene Particle,Diameter 100 nm,10 mL,"5,000/ea.",TRM-M-9002,08091 - 10102
239.0,Monodisperse Polystyrene Particle,Diameter 1.5 um,10 mL,"5,000/ea.",TRM-M-9003,08091 - 10103
240.0,Monodisperse Polystyrene Particle,Diameter 300 nm,10 mL,"5,000/ea.",TRM-M-9004,08091 - 10104
241.0,Monodisperse Polystyrene Particle,Diameter 500 nm,10 mL,"5,000/ea.",TRM-M-9005,08091 - 10105
242.0,Monodisperse Polystyrene Particle,Diameter 1.0 um,10 mL,"5,000/ea.",TRM-M-9006,08091 - 10106
2501.0,Laser Tracker,Up to 30 m,"Q[3.9 ?m, 1.0E-06L]","87,500",ISO 10360-10: 2021,08051-11051
2502.0,Contour Specimen,"X-axis = 13.5 mm, 40.0 mm, 65.0 mm and 82.5 mm",0.003 mm,20000,Contact method,08091-10107
2503.0,Contour Specimen,Y-axis = 2.2 mm and 3.7 mm,0.002 mm,20000,,08091-10108
2504.0,Contour Specimen,Radius = 6.0 mm and 10 mm,0.002 mm,20000,,08091-10109
2505.0,Contour Specimen,Angle = 90? and 270?,0.02?,20000,,08091-10110
2506.0,Non-contact probe,Length up to 20 um for Dynamic mode,0.2 um + 1.2E-05 L,"1,500/piece","Direct measurement using Dynamic mode, and camparing its reading with laser interferometer",08061-11301
2507.0,Non-contact probe,Length up to 4 mm for Static mode,0.5 um + 4.6E-05 L,"7,530/piece","Direct measurement using Static mode, and camparing its reading with laser interferometer",08061-11302
2508.0,Laser Distance Meter,"Up to 20,000 mm",1 mm,"5,000/piece",Compare to the laser interferometer with the standard 40-m Rail System,08101-10001
2509.0,2D Scanning Thread Measuring Machine (2D-STMM),"X-axis = 90 mm
Z-axis = 180 mm","Q[0.13 ?m, 2.2E-06 L]","40,000/piece",Direct measurement using Laser Interferometer,08071-10303
2510.0,Steel Tape,up to 1800 mm,"Class 1: Q[0.033 mm, 4.4E-06 L]","3,000/piece",Cal by scale calibrator,08081-30915
,Refractive Index of Spherical Lens,"1.524 to
1.526",0.00033,"7,500",,08061 - 11207
,Electronic Distance Meter (EDM): Distance,"4 Distances: 
10m., 20m., 30m. and 40m.",-,"5,000/piece",,08101-10004
