ลำดับ (Item No.),รายการเครื่องมือวัด (Description),ช่วงการวัด (Range),ความสามารถในการวัดและสอบเทียบ (CMC / Uncertainty),ราคาค่าธรรมเนียม (Price - THB),หมายเหตุ (Remark),รหัสบริการ (Service Code)
47.0,Measurement of uniformity of response of a photo-detector," At discrete wavelengths from 200 nm to 2 500 nm
Beam size ranges from 25 micron to 5 mm","200 nm to 400 nm: 
± 0.2%
400 nm to 2 500 nm: ± 0.1% ","6,250 for  one combination of wavelength and beam size of one photo-detector",x-y linear scan,13032-12910
48.0,Spectral irradiance responsivity of low-sense UV and blue-wavelength spectroradiometer,"Wavelength: 200 nm ? ? ?  500 nm
Power level: 0.002 W?m-2?nm-1 to 1 W?m-2?nm-1","³ 4.7%, varied by DUT, wavelength, bandwdith and power level","10,000 / Irradiance level",Comparison against reference spectroradiometer using 300 W Xe lamp,13038-12024
49.0,Spectral irradiance of a duterium lamp,200 nm to 400 nm,5.3% to 12%,"13,750 for the first lamp
+ 5,630 for any additional lamp",By scanning measurements against a spectral irradiance reference national standard lamp using a double subtractive monochromator,13037-13012
50.0,Measurement of absolute / relative spectral irradance of a light source,250 nm to 1 020 nm," Greater than or equal to  
2.4%","6,250 for the first lamp
+ 3,130 for any additional lamp of the same type",Measurement by a working standard diode array spectroradiometer ,13034-13013
51.0,Measurement of integrated absolute irradance of a light source,"320 nm to 400 nm
(UVA)",0.042,"6,250 for the first lamp 
(per range)
+ 3,130 for any additional lamp of the same type
(per range)",Measurement by a working standard radiometer,13035-15090
52.0,Measurement of integrated absolute irradance of a light source,"260 nm to 320 nm
(UVB)",0.064,"6,250 for the first lamp 
(per range)
+ 3,130 for any additional lamp of the same type
(per range)",Measurement by a working standard radiometer,13035-15091
53.0,Measurement of integrated absolute irradance of a light source,400 nm to 500 nm,0.0357,"6,250 for the first lamp 
(per range)
+ 3,130 for any additional lamp of the same type
(per range)",Measurement by a working standard radiometer,13035-15098
54.0,Spectral radiance of radiance source,"Wavelength range: 320 nm to 1 100 nm
Bandwidth: 4.0 nm
Correlated color temperature (CCT)
2 000 K ? CCT ? 6 500 K",2.6% to 7.0%,"20,000 for the first calibration point + 5,000 for any additional point",Comparison method for relative spectral measurement and direct measurement for absolute luminance by a reference luminance meter.,13037-13021
55.0,Spectral radiant flux of a tungsten lamp,0.001 W/nm to 0.07 W/nm,"3.4% to 2.8%
(360 nm to 395 nm)
2.8% to 3.6%
(395 nm to 830 nm)","20,000
(+ 500 for total radiant flux)","Gonio-spectroradiometer and integrating sphere
(Geometric measurement conditions: full)",13010-13051
56.0,Total radiant flux of a tungsten lamp,5 W to 20 W,0.016,20000,"Gonio-spectroradiometer and integrating sphere
(Geometric measurement conditions: full, wavelength range: 360 nm to 830 nm)",13010-15080
57.0,"Surface color of general reflecting material, x, y, Y, u', v', L*, a*, b*",-,"Varied by parameter of interest  and color of UUC, please contact a laboratory staff for full details.","For general material: 7,500 THB for the first piece and 4,000 THB for an additional piece. 
For a set of color standards:
7,500 THB for the first piece and 2,000 THB for an additional piece.",Spectral diffuse reflectance measurement by single-beam substitution method against a reference color standard,13025-16010
58.0,"Surface Color Responsivity of Colorimeter, x, y, Y, u', v', L*, a*, b*",380 nm to 780 nm,Varied by parameter of interest  and color of standard.,6250,Direct measurement by using the basic color checked standard,13026-16010
59.0,Transmitted color of a transmitting material,360 nm to 860 nm,Values and uncertainties vary depending on sample's color. ,"3,500/sample",Direct measurement by single-beam reference spectrophtometer ,13025-16030
60.0,Haze and luminous transmittance of a diffusely transmitting material,380 nm to 780 nm,"For 20% haze plate, typical uncertainty in transmission haze is 0.16%.","5,000/sample",Based on ASTM D1003 standard method,13025-16070
61.0,Whiteness and Tint,"380 nm to 780 nm
W greater than 40 and less than 5Y-280",1.5,"6,500/sample",Spectral diffuse reflectance measurement by single-beam substitution method against a reference white diffuse reflectance standard,13025-16120
62.0,Correlated color temperature of a general source,"2 600 K to 3 200 K (tungsten lamp)
2 600 K to 7 500 K (discharge lamp, LED)","13 K (tungsten lamp)
14 K to 33 K (discharge lamp, LED)","6,500
(+ 500 for chromaticity coordinate)",Spectroradiometer and photometric bench,13041-15021
63.0,Emitted color of a general source,-,"0.001 (tungsten lamp)
0.002 (discharge lamp, LED)","6,500
(+ 500 for correlated color temperature)",Spectroradiometer and photometric bench,13041-15040
64.0,Correlated color temperature response of a color temperature meter,"2 600 K to 3 200 K (tungsten source)
2 600 K to 10 000 K (spectrally tunable LED source)","13 K (tungsten source)
25 K to 133 K (spectrally tunable LED source)","6,500 for the first calibration point + 1,000 for any additional point",Spectroradiometer,13041-15030
65.0,Chromaticity response of a colorimeter,-,"0.001 (tungsten source)
0.002 (spectrally tunable LED source)","6,500 for the first calibration point + 1,000 for any additional point",Spectroradiometer,13041-15050
66.0,Spectral diffuse/hemispherical reflectance of a spectrally-neutral material,30 % to 100 %,"2.2 % to 1.4 %
(diffuse: 400 nm to 470 nm
hemispherical: 400 nm to 430 nm)

1.4 % to 1.3 %
(diffuse: 470 nm to 700 nm
hemispherical: 430 nm to 700 nm)","10,000",Spectrophotometer,13015-34051
67.0,Measurement of absolute / relative spectral irradance of a light source,250 nm to 1020 nm,3.4% to 9.8%,"6,250",Measurement by a working standard diode array spectroradiometer,13034-33013
68.0,Measurement of integrated absolute irradance of a light source,"320 nm to 400 nm
(UVA)",0.042,"6,130 
(per range)",Measurement by a working standard radiometer,13035-35090
69.0,Measurement of integrated absolute irradance of a light source,"260 nm to 320 nm
(UVB)",0.064,,,13035-35091
70.0,Measurement of integrated absolute irradance of a light source,400 nm to 500 nm,0.0357,,,13035-35098
71.0,Solar simulator performance testing according to IEC 60904-9,"400 nm to 1,100 nm (300 nm to 1 200 nm) for spectral match evaluation",0.001,"For 400 nm to 1 100 nm, 7,500/irradiance level For 300 nm to 1 200 nm, 9,000/irradiance level","Measurements based on IEC 60904-9
Edition 3.0 2020-09",13034-33014
72.0,UVC Intregrated irradiance of customer's source,220 nm to 280 nm,0.054,"6,400 per probe for the first irradiance level point
+ 2,900 for any additional irradiance level point",Measurement by reference UVC meter,13035-32093
73.0,Sensitivity of a pyranometer,(600 to 1000) W/m2,0.03,10000,Comparison to a reference pyranometer in accordance with ISO 9847:2023 Type B1,13050-31001
