Year,Province,District,Dataset_Group,Dataset_name,Item,Vlue,Unit,Source,หน่วยงานเจ้าของข้อมูล
2565,ปทุมธานี,ลำลูกกา,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,0.44,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,196.5,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,494.992,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,520.24,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,0.973,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,5.68,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2565,ปทุมธานี,สามโคก,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,0.61,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,1002.75,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,1485.45,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,2823.67,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,9.66,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,21.6,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,เมืองปทุมธานี,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,11.58,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,2295.43,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,3760.28,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,3260.81,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,ธุรกิจเฉพาะ,11.46,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,อากรแสตมป์,29.54,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,คลองหลวง,การค้าและราคา,ประเภทภาษี ,อื่น ๆ,4.82,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,บุคคลธรรมดา,666.78,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,นิติบุคคล,645.64,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,การค้า,-,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
2566,ปทุมธานี,ธัญบุรี,การค้าและราคา,ประเภทภาษี ,มูลค่าเพิ่ม,1311.48,บาท,รายงานสถิติจังหวัดปทุมธานี,สำนักงานสรรพากรพื้นที่ปทุมธานี
