YEA_GOV,PROV,TAX_TYPE,FORM_CODE,AMT_RCV
2567,กำแพงเพชร,006,ป2,21400.00
2567,กำแพงเพชร,006,ภธ40,30282537.21
2567,กำแพงเพชร,007,อส10,3568775.50
2567,กำแพงเพชร,007,อส10.1,3086719.00
2567,กำแพงเพชร,007,อส4,3123583.75
2567,กำแพงเพชร,007,อส4ก,47558.00
2567,กำแพงเพชร,007,อส4ข,1536555.82
2567,กำแพงเพชร,007,อส9,4708898.00
2567,กำแพงเพชร,009,รบ1,3270.00
2567,กำแพงเพชร,011,ป2,460200.00
2567,กำแพงเพชร,015,รบ1,2120.00
2567,ขอนแก่น,001,ทป3,174250018.84
2567,ขอนแก่น,001,ป2,3729300.00
2567,ขอนแก่น,001,ภงด1,517875564.72
2567,ขอนแก่น,001,ภงด2,150112096.35
2567,ขอนแก่น,001,ภงด3,255640337.83
2567,ขอนแก่น,001,ภงด90,217476347.47
2567,ขอนแก่น,001,ภงด91,108910737.59
2567,ขอนแก่น,001,ภงด93,68832156.44
2567,ขอนแก่น,001,ภงด94,35469325.28
2567,ขอนแก่น,002,ทป3,13476349.47
2567,ขอนแก่น,002,ป2,1807600.00
2567,ขอนแก่น,002,ภงด50,526894670.37
2567,ขอนแก่น,002,ภงด51,425776483.92
2567,ขอนแก่น,002,ภงด53,467661205.48
2567,ขอนแก่น,002,ภงด54,80823138.96
2567,ขอนแก่น,002,ภงด55,989129.82
2567,ขอนแก่น,005,ทป3,41024439.28
2567,ขอนแก่น,005,ป2,2158100.00
2567,ขอนแก่น,005,ภพ30,4367630405.12
2567,ขอนแก่น,005,ภพ36,25012507.46
2567,ขอนแก่น,006,ทป3,1288633.31
2567,ขอนแก่น,006,ป2,47800.00
2567,ขอนแก่น,006,ภธ40,125145565.55
2567,ขอนแก่น,007,ทป3,2700.00
2567,ขอนแก่น,007,อส10,14452277.24
2567,ขอนแก่น,007,อส10.1,2431904.00
2567,ขอนแก่น,007,อส4,8775527.53
2567,ขอนแก่น,007,อส4ก,138166.00
2567,ขอนแก่น,007,อส4ข,12802435.50
2567,ขอนแก่น,007,อส9,12473282.00
2567,ขอนแก่น,011,ป2,927100.00
2567,ขอนแก่น,015,รบ1,33971.26
2567,จันทบุรี,001,ทป3,56322742.60
2567,จันทบุรี,001,ป2,1363100.00
2567,จันทบุรี,001,ภงด1,73174892.41
2567,จันทบุรี,001,ภงด2,47803385.57
2567,จันทบุรี,001,ภงด3,75284065.29
2567,จันทบุรี,001,ภงด90,106171083.90
