YEA_GOV,MON,TAX_TYPE,FORM_CODE,AMT_RCV
2567,08,002,ภงด54,13862325766.59000000
2567,08,002,ภงด55,7187548.62000000
2567,08,001,ภงด90,184386196.14000000
2567,08,001,ภงด91,50384620.30000000
2567,08,001,ภงด93,109092688.83000000
2567,08,001,ภงด94,335909082.78000000
2567,08,003,ภงป70,29094476.70000000
2567,08,003,ภงป71,8483141597.88000000
2567,08,006,ภธ40,3504880064.59000000
2567,08,005,ภพ30,46619355229.96000000
2567,08,005,ภพ309,785484442.20000000
2567,08,005,ภพ36,4982218345.69000000
2567,08,070,ภม60,53156137.45000000
2567,08,009,รบ1,2011.20000000
2567,08,010,รบ1,10.00000000
2567,08,015,รบ1,20140.05000000
2567,08,007,อส10,71005152.01000000
2567,08,007,อส10.1,7499452.00000000
2567,08,007,อส4,246844035.32000000
2567,08,007,อส4ก,12108682.90000000
2567,08,007,อส4ข,230846292.76000000
2567,08,007,อส9,143823674.00000000
2567,09,001,ทป3,136826770.61000000
2567,09,002,ทป3,413012901.67000000
2567,09,004,ทป3,50000.00000000
2567,09,005,ทป3,428681779.84000000
2567,09,006,ทป3,5922326.08000000
2567,09,007,ทป3,5151833.66000000
2567,09,070,ทป3,2368821.70000000
2567,09,001,ป2,9020100.00000000
2567,09,002,ป2,16386400.00000000
2567,09,005,ป2,10087900.00000000
2567,09,006,ป2,210700.00000000
2567,09,011,ป2,8041510.00000000
2567,09,001,ภงด1,15977081356.23000000
2567,09,001,ภงด2,4601925292.88000000
2567,09,001,ภงด3,2115775849.85000000
2567,09,002,ภงด50,27081278985.23000000
2567,09,002,ภงด51,136249854176.58000000
2567,09,002,ภงด52,3611490.75000000
2567,09,002,ภงด53,15528411006.68000000
2567,09,002,ภงด54,11754541102.76000000
2567,09,002,ภงด55,118135579.61000000
2567,09,001,ภงด90,135140988.70000000
2567,09,001,ภงด91,60993997.96000000
2567,09,001,ภงด93,53094457.59000000
2567,09,001,ภงด94,1481407705.59000000
2567,09,006,ภธ40,3151444576.54000000
2567,09,005,ภพ30,44558390720.58000000
2567,09,005,ภพ30.2,1614800.61000000
2567,09,005,ภพ309,726306221.52000000
2567,09,005,ภพ36,6110152935.35000000
2567,09,070,ภม60,46293829.01000000
2567,09,009,รบ1,27435.10000000
2567,09,010,รบ1,4.50000000
2567,09,015,รบ1,20408.11000000
2567,09,007,อส10,70694381.40000000
2567,09,007,อส10.1,9398924.00000000
2567,09,007,อส4,271154515.62000000
2567,09,007,อส4ก,12782175.00000000
2567,09,007,อส4ข,230083429.28000000
2567,09,007,อส9,153091623.00000000
2567,10,001,ทป3,248899554.57000000
2567,10,002,ทป3,575944510.47000000
2567,10,005,ทป3,351127262.28000000
2567,10,006,ทป3,10102227.19000000
2567,10,007,ทป3,703471.00000000
2567,10,001,ป2,9260800.00000000
2567,10,002,ป2,8693000.00000000
2567,10,005,ป2,7885700.00000000
2567,10,006,ป2,202500.00000000
2567,10,011,ป2,10484900.00000000
2567,10,001,ภงด1,15595043257.35000000
2567,10,001,ภงด2,6423093661.03000000
2567,10,001,ภงด3,2068468982.38000000
2567,10,002,ภงด50,1210634055.44000000
2567,10,002,ภงด51,1025068581.61000000
2567,10,002,ภงด52,4288031.45000000
2567,10,002,ภงด53,15527724887.80000000
2567,10,002,ภงด54,8943283714.24000000
2567,10,002,ภงด55,23885550.48000000
2567,10,001,ภงด90,108852453.44000000
2567,10,001,ภงด91,26394557.23000000
2567,10,001,ภงด93,64030533.25000000
2567,10,001,ภงด94,831117288.46000000
2567,10,006,ภธ40,3417540589.25000000
2567,10,005,ภพ30,42725353715.34000000
2567,10,005,ภพ30.2,4268.20000000
2567,10,005,ภพ309,614222732.60000000
2567,10,005,ภพ36,4569371236.06000000
2567,10,070,ภม60,111329692.10000000
2567,10,010,รบ1,37.00000000
2567,10,015,รบ1,7655.31000000
2567,10,007,อส10,81504071.99000000
2567,10,007,อส10.1,6650046.00000000
2567,10,007,อส4,313291675.87000000
2567,10,007,อส4ก,13970596.00000000
2567,10,007,อส4ข,265459165.35000000
2567,10,007,อส9,106670333.00000000
2567,11,001,ทป3,521994486.18000000
2567,11,002,ทป3,345395532.80000000
2567,11,004,ทป3,50500.00000000
2567,11,005,ทป3,293113284.74000000
2567,11,006,ทป3,5040725.78000000
2567,11,007,ทป3,1386194.77000000
2567,11,070,ทป3,51400.00000000
2567,11,001,ป2,12931600.00000000
2567,11,002,ป2,7184100.00000000
2567,11,005,ป2,7951100.00000000
2567,11,006,ป2,190100.00000000
2567,11,011,ป2,10805800.00000000
2567,11,001,ภงด1,15578279555.06000000
2567,11,001,ภงด2,3923909013.18000000
2567,11,001,ภงด3,2015287831.89000000
2567,11,002,ภงด50,2510134948.33000000
2567,11,002,ภงด51,8814576303.58000000
2567,11,002,ภงด52,31925722.64000000
2567,11,002,ภงด53,14981187585.54000000
2567,11,002,ภงด54,7665291231.55000000
2567,11,002,ภงด55,29470603.82000000
2567,11,001,ภงด90,137069920.64000000
2567,11,001,ภงด91,46498805.00000000
2567,11,001,ภงด93,51692510.18000000
2567,11,001,ภงด94,58139639.99000000
2567,11,003,ภงป71,30186020.32000000
2567,11,006,ภธ40,3334481655.34000000
2567,11,005,ภพ30,41820864374.18000000
2567,11,005,ภพ30.2,370418.31000000
2567,11,005,ภพ309,627735724.68000000
2567,11,005,ภพ36,4673107628.19000000
2567,11,070,ภม60,411842900.41000000
2567,11,010,รบ1,20.50000000
2567,11,015,รบ1,55289.19000000
2567,11,999,รบ1,0.20000000
2567,11,007,อส10,77600528.38000000
2567,11,007,อส10.1,5848157.00000000
2567,11,007,อส4,347268284.28000000
