YEA_GOV,MON,TAX_TYPE,FORM_CODE,AMT_RCV
"2565","06","006","ภธ40",2588753946.87999996
"2565","06","007","ทป3",4947417.73000000
"2565","06","007","อส10",79158345.25000000
"2565","06","007","อส10.1",5536604.00000000
"2565","06","007","อส4",338842985.00000000
"2565","06","007","อส4ก",17227361.01000000
"2565","06","007","อส4ข",299245025.56000000
"2565","06","007","อส9",60821559.00000000
"2565","06","009","รบ1",6566.60000000
"2565","06","010","รบ1",57.50000000
"2565","06","011","ป2",43279318.00000000
"2565","06","015","รบ1",29510.87000000
"2565","06","070","ภม60",6093959.85000000
"2565","06","999","รบ1",1770.00000000
"2565","07","001","ทป3",172571765.10999994
"2565","07","001","ภงด1",18179817245.51999983
"2565","07","001","ภงด2",4635505340.09999998
"2565","07","001","ภงด3",1941008492.28999889
"2565","07","001","ภงด90",137348749.13000000
"2565","07","001","ภงด91",99183019.04000000
"2565","07","001","ภงด93",87389017.74000000
"2565","07","001","ภงด94",77427567.88000000
"2565","07","002","ทป3",747308597.52999995
"2565","07","002","ป2",1690000.00000000
"2565","07","002","ภงด50",1316882689.77999994
"2565","07","002","ภงด51",570951973.09999999
"2565","07","002","ภงด52",48836682.55000000
"2565","07","002","ภงด53",14965795117.47999842
"2565","07","002","ภงด54",9987483968.30999997
"2565","07","002","ภงด55",58526598.38000000
"2565","07","003","ภงป73",6731.17000000
"2565","07","005","ทป3",367857034.88999992
"2565","07","005","ภพ30",38184281429.16999982
"2565","07","005","ภพ30.2",2419.86000000
"2565","07","005","ภพ309",556666597.19000000
"2565","07","005","ภพ36",4213477991.50999996
"2565","07","006","ทป3",4398153.53000000
"2565","07","006","ภธ40",3385530575.87999995
"2565","07","007","ทป3",1315262.18000000
"2565","07","007","อส10",64928523.75000000
"2565","07","007","อส10.1",4653649.00000000
"2565","07","007","อส4",266989500.58000000
"2565","07","007","อส4ก",14664599.08000000
"2565","07","007","อส4ข",281823134.77000000
"2565","07","007","อส9",47705967.00000000
"2565","07","009","รบ1",5604.50000000
"2565","07","010","รบ1",19.00000000
"2565","07","011","ป2",31570611.00000000
"2565","07","015","รบ1",34753.81000000
"2565","07","070","ทป3",204259.64000000
"2565","07","070","ภม60",3636404.25000000
"2565","08","001","ทป3",156782034.54999996
"2565","08","001","ภงด1",15769127458.42999974
"2565","08","001","ภงด2",3386977461.76000000
"2565","08","001","ภงด3",1843360610.13999854
"2565","08","001","ภงด90",198972182.36000000
"2565","08","001","ภงด91",73342423.73000000
"2565","08","001","ภงด93",36073038.28000000
"2565","08","001","ภงด94",257794402.90000000
"2565","08","002","ทป3",570704964.79999999
"2565","08","002","ป2",1350000.00000000
"2565","08","002","ภงด50",10098207472.74999995
"2565","08","002","ภงด51",33449449417.04999999
"2565","08","002","ภงด52",704732481.05000000
"2565","08","002","ภงด53",13540194453.09999800
"2565","08","002","ภงด54",14831758011.73999998
"2565","08","002","ภงด55",34547907.02000000
"2565","08","003","ภงป71",7510346101.34000000
"2565","08","005","ทป3",589180341.51999996
"2565","08","005","ภพ30",37748274882.40999966
"2565","08","005","ภพ30.2",210762.54000000
"2565","08","005","ภพ309",580473995.37000000
"2565","08","005","ภพ36",4142736445.88999997
"2565","08","006","ทป3",15281998.99999999
"2565","08","006","ภธ40",2304065261.44999996
"2565","08","007","ทป3",5360423.88000000
"2565","08","007","อส10",80171031.18000000
"2565","08","007","อส10.1",5106052.00000000
"2565","08","007","อส4",266817228.49000000
"2565","08","007","อส4ก",14251834.60000000
"2565","08","007","อส4ข",254451854.78000000
"2565","08","007","อส9",58598210.00000000
"2565","08","009","รบ1",2716.50000000
"2565","08","010","รบ1",42.50000000
"2565","08","011","ป2",42581504.00000000
"2565","08","015","รบ1",91372.73000000
"2565","08","070","ทป3",22799292.91000000
"2565","08","070","ภม60",56704155.59000000
"2565","08","999","รบ1",0.50000000
"2565","09","001","ทป3",161336936.32999997
"2565","09","001","ป2",439600.00000000
"2565","09","001","ภงด1",14604171686.96999978
"2565","09","001","ภงด2",4310998377.54999998
"2565","09","001","ภงด3",1950459598.48999814
"2565","09","001","ภงด90",143516620.58999999
"2565","09","001","ภงด91",70715275.85000000
"2565","09","001","ภงด93",46819590.68000000
"2565","09","001","ภงด94",1349101953.50999999
"2565","09","002","ทป3",755995340.80999998
"2565","09","002","ป2",5138200.00000000
"2565","09","002","ภงด50",28684958230.86999998
"2565","09","002","ภงด51",128650210701.46999999
"2565","09","002","ภงด52",4293260.64000000
"2565","09","002","ภงด53",15219654396.82999754
"2565","09","002","ภงด54",9851193413.87999997
"2565","09","002","ภงด55",96870875.09999999
"2565","09","005","ทป3",449790849.57999997
"2565","09","005","ป2",385000.00000000
