year,Province,Amphone,district,Item,Value,Unit,Source
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ต้นโพธิ์,จำนวนเกษตรกรในพืนที่,532,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.จักรสีห์,จำนวนเกษตรกรในพืนที่,361,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางกระบือ,จำนวนเกษตรกรในพืนที่,532,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สิงห์,จำนวนเกษตรกรในพืนที่,401,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.ไม้ดัด,จำนวนเกษตรกรในพืนที่,775,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.เชิงกลัด,จำนวนเกษตรกรในพืนที่,621,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.โพชนไก่,จำนวนเกษตรกรในพืนที่,550,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.แม่ลา,จำนวนเกษตรกรในพืนที่,282,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.บ้านจ่า,จำนวนเกษตรกรในพืนที่,516,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.พักทัน,จำนวนเกษตรกรในพืนที่,724,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สระแจง,จำนวนเกษตรกรในพืนที่,647,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.โพทะเล,จำนวนเกษตรกรในพืนที่,646,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.บางระจัน,จำนวนเกษตรกรในพืนที่,529,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.โพสังโฆ,จำนวนเกษตรกรในพืนที่,476,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.ท่าข้าม,จำนวนเกษตรกรในพืนที่,293,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.คอทราย,จำนวนเกษตรกรในพืนที่,283,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.หนองกระทุ่ม,จำนวนเกษตรกรในพืนที่,306,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.พระงาม,จำนวนเกษตรกรในพืนที่,584,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.พรหมบุรี,จำนวนเกษตรกรในพืนที่,291,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บางน้ำเชี่ยว,จำนวนเกษตรกรในพืนที่,321,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บ้านหม้อ,จำนวนเกษตรกรในพืนที่,665,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บ้านแป้ง,จำนวนเกษตรกรในพืนที่,270,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.หัวป่า,จำนวนเกษตรกรในพืนที่,214,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.โรงช้าง,จำนวนเกษตรกรในพืนที่,375,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.ถอนสมอ,จำนวนเกษตรกรในพืนที่,731,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.โพประจักษ์,จำนวนเกษตรกรในพืนที่,446,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.วิหารขาว,จำนวนเกษตรกรในพืนที่,339,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.พิกุลทอง,จำนวนเกษตรกรในพืนที่,368,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.อินทร์บุรี,จำนวนเกษตรกรในพืนที่,636,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ประศุก,จำนวนเกษตรกรในพืนที่,778,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทับยา,จำนวนเกษตรกรในพืนที่,620,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.งิ้วราย,จำนวนเกษตรกรในพืนที่,740,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ชีน้ำร้าย,จำนวนเกษตรกรในพืนที่,761,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ท่างาม,จำนวนเกษตรกรในพืนที่,716,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.น้ำตาล,จำนวนเกษตรกรในพืนที่,486,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
