year,Province,Amphone,type,Item,Value,Unit,Source
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,141,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,545,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,577,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,164,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,2486,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,3844,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,236,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1510,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1339,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,79,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,2478,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1729,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,680,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,1316,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,910,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,340,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,969,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,898,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,147,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,553,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,563,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,163,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,เกษตรกรเป็นเจ้าของเอง,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,2424,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,เช่า,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,3876,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,"อื่นๆ (ที่สาธารณะประโยชน์, ทำฟรี)",จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามลักษณะการถือครอง,240,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
