year,Province,Amphone,Age range,Item,Value,Unit,Source
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,3,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,43,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,100,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,203,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,363,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,500,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,38,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,403,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,775,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1060,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1628,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,1859,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,21,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,191,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,402,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,591,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,918,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,1166,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,27,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,254,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,467,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,842,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,1210,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอบางระจัน,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,1299,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,7,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,117,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,258,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,480,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,715,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,682,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,3,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,26 - 35 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,78,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,36 - 45 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,146,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,46 - 55 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,254,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,56 - 65 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,494,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,65 ปีขึ้นไป,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,740,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2567,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,18 - 25 ปี,จำนวนครัวเรือนเกษตรกรที่ขึ้นทะเบียนจำแนกตามอายุของหัวหน้าครัวเรือน,3,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
