year,Province,Amphone,type,Item,Value,Unit,Source
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,2530,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,30,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,1362,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,14,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,897,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,เอกสารสิทธิ์อื่นๆ,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,12,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,โฉนด/น.ส.ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,544,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ส.ป.ก. ทุกประเภท,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,หนังสือรับรองของหน่วยงาน,จำนวนครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามประเภทเอกสารสิทธิที่ถือครอง,0,ครัวเรือน,สำนักงานเกษตรจังหวัดสิงห์บุรี
