year,Province,Amphone,district,Item,  Value ,Unit,Source
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.หัวไผ่,จำนวนเกษตรกรผู้ปลูกข้าว,479,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ต้นโพธิ์,จำนวนเกษตรกรผู้ปลูกข้าว,189,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.จักรสีห์,จำนวนเกษตรกรผู้ปลูกข้าว,206,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางกระบือ,จำนวนเกษตรกรผู้ปลูกข้าว,47,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สิงห์,จำนวนเกษตรกรผู้ปลูกข้าว,391,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.ไม้ดัด,จำนวนเกษตรกรผู้ปลูกข้าว,478,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.เชิงกลัด,จำนวนเกษตรกรผู้ปลูกข้าว,463,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.โพชนไก่,จำนวนเกษตรกรผู้ปลูกข้าว,403,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.แม่ลา,จำนวนเกษตรกรผู้ปลูกข้าว,355,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.บ้านจ่า,จำนวนเกษตรกรผู้ปลูกข้าว,400,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.พักทัน,จำนวนเกษตรกรผู้ปลูกข้าว,704,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สระแจง,จำนวนเกษตรกรผู้ปลูกข้าว,487,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.โพทะเล,จำนวนเกษตรกรผู้ปลูกข้าว,479,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.บางระจัน,จำนวนเกษตรกรผู้ปลูกข้าว,462,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.โพสังโฆ,จำนวนเกษตรกรผู้ปลูกข้าว,315,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.ท่าข้าม,จำนวนเกษตรกรผู้ปลูกข้าว,125,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.คอทราย,จำนวนเกษตรกรผู้ปลูกข้าว,343,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.หนองกระทุ่ม,จำนวนเกษตรกรผู้ปลูกข้าว,238,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.พระงาม,จำนวนเกษตรกรผู้ปลูกข้าว,174,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.พรหมบุรี,จำนวนเกษตรกรผู้ปลูกข้าว,84,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บางน้ำเชี่ยว,จำนวนเกษตรกรผู้ปลูกข้าว,123,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บ้านหม้อ,จำนวนเกษตรกรผู้ปลูกข้าว,290,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.บ้านแป้ง,จำนวนเกษตรกรผู้ปลูกข้าว,130,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.หัวป่า,จำนวนเกษตรกรผู้ปลูกข้าว,129,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,ต.โรงช้าง,จำนวนเกษตรกรผู้ปลูกข้าว,106,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.ถอนสมอ,จำนวนเกษตรกรผู้ปลูกข้าว,186,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.โพประจักษ์,จำนวนเกษตรกรผู้ปลูกข้าว,366,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.วิหารขาว,จำนวนเกษตรกรผู้ปลูกข้าว,136,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,ต.พิกุลทอง,จำนวนเกษตรกรผู้ปลูกข้าว,143,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.อินทร์บุรี,จำนวนเกษตรกรผู้ปลูกข้าว,192,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ประศุก,จำนวนเกษตรกรผู้ปลูกข้าว,609,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทับยา,จำนวนเกษตรกรผู้ปลูกข้าว,430,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.งิ้วราย,จำนวนเกษตรกรผู้ปลูกข้าว,532,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ชีน้ำร้าย,จำนวนเกษตรกรผู้ปลูกข้าว,521,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ท่างาม,จำนวนเกษตรกรผู้ปลูกข้าว,347,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.น้ำตาล,จำนวนเกษตรกรผู้ปลูกข้าว,467,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ทองเอน,จำนวนเกษตรกรผู้ปลูกข้าว,779,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.ห้วยชัน,จำนวนเกษตรกรผู้ปลูกข้าว,914,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2561,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,ต.โพธิ์ชัย,จำนวนเกษตรกรผู้ปลูกข้าว,526,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางพุทรา,จำนวนเกษตรกรผู้ปลูกข้าว,0,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางมัญ,จำนวนเกษตรกรผู้ปลูกข้าว,347,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.โพกรวม,จำนวนเกษตรกรผู้ปลูกข้าว,345,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ม่วงหมู่,จำนวนเกษตรกรผู้ปลูกข้าว,86,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.หัวไผ่,จำนวนเกษตรกรผู้ปลูกข้าว,536,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.ต้นโพธิ์,จำนวนเกษตรกรผู้ปลูกข้าว,203,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.จักรสีห์,จำนวนเกษตรกรผู้ปลูกข้าว,218,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอเมืองสิงห์บุรี,ต.บางกระบือ,จำนวนเกษตรกรผู้ปลูกข้าว,417,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สิงห์,จำนวนเกษตรกรผู้ปลูกข้าว,146,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.ไม้ดัด,จำนวนเกษตรกรผู้ปลูกข้าว,537,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.เชิงกลัด,จำนวนเกษตรกรผู้ปลูกข้าว,494,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.โพชนไก่,จำนวนเกษตรกรผู้ปลูกข้าว,420,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.แม่ลา,จำนวนเกษตรกรผู้ปลูกข้าว,363,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.บ้านจ่า,จำนวนเกษตรกรผู้ปลูกข้าว,451,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.พักทัน,จำนวนเกษตรกรผู้ปลูกข้าว,756,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอบางระจัน,ต.สระแจง,จำนวนเกษตรกรผู้ปลูกข้าว,565,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.โพทะเล,จำนวนเกษตรกรผู้ปลูกข้าว,519,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.บางระจัน,จำนวนเกษตรกรผู้ปลูกข้าว,486,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
2562,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,ต.โพสังโฆ,จำนวนเกษตรกรผู้ปลูกข้าว,331,ราย,สำนักงานเกษตรจังหวัดสิงห์บุรี
