year,Province,Amphone,Age range,Item,Value,Unit,Source
2566,จังหวัดสิงห์บุรี,อำเภอบางระจัน,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,30.78,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,17.43,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,53.94,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอค่ายบางระจัน,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,28.62,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,12.15,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,41.94,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอพรหมบุรี,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,45.91,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,12.05,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,46.7,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภอท่าช้าง,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,41.25,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,18 - 45 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,21.1,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,46 - 65 ปี,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,46.64,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
2566,จังหวัดสิงห์บุรี,อำเภออินทร์บุรี,65 ปีขึ้นไป,ร้อยละของครัวเรือนเกษตรกรผู้ปลูกข้าวจำแนกตามอายุของหัวหน้าครัวเรือน,32.26,ร้อยละ,สำนักงานเกษตรจังหวัดสิงห์บุรี
