No,Date,Province,ODPC,Type_Source,Type_Cause,Place,Detail_Source,Count_Injured,Type_Injurey,Count_Dead,Type_Dead,Data_Source,explode
361,13/04/2022,อยุธยา,4,ไฟไหม้,พลาสติก,โรงงาน,เช้านี้ เพลิงไหม้โรงงานผลิตเม็ดพลาสติก เสียหาย 60 ล้าน รับวันสงกรานต์ 2565,0,,0,,กรุงเทพธุรกิจออนไลน์,ไม่ระเบิด
362,13/04/2022,นครปฐม,5,ไฟไหม้,ทินเนอร์,โรงงาน,"นครปฐม-ไฟไหม้โรงงานเก็บทินเนอร์ 
เมื่อเวลา 16.30 น.ที่ผ่านมา เกิดเหตุเพลิงไหม้ที่ โรงงานเก็บทินเนอร์ ต.ไร่ขิง อ.สามพราน จ.นครปฐม #ล่าสุด รับแจ้งว่าเจ้าหน้าที่ดับเพลิงสามารถควบคุมเพลิงได้แล้ว รายละเอียดเพิ่มเติมอยู่ระหว่างตรวจสอบ",0,,0,,FB :Fire & Rescue Thailand,ไม่ระเบิด
363,26/04/2022,กรุงเทพมหานคร,13,รั่วไหล,โซเดียมไฮโดรซัลไฟต์,อาคารพาณิชย์/สํานักงาน/ร้านจําหน่าย,"เวลา 09.43 น. (26 เม.ย.65) ศูนย์วิทยุพระราม 199 แจ้งมีเหตุสารเคมีรั่วไหล ในบริษัทแห่งหนึ่ง ภายในซอยเอกชัย 110 เขตบางบอน เจ้าหน้าที่สถานีดับเพลิงและกู้ภัยบางขุนเทียน ถึงที่เกิดเหตุ เบื้องต้น ที่เกิดเหตุไม่มีแสงเพลิง พบเป็นสารเคมีชื่อโซเดียมไดไธโอไนต์ หรือที่เรียกว่าโซเดียมไฮโดรซัลไฟต์ รั่วไหล เจ้าหน้าที่อยู่ระหว่างดำเนินการ และประสานชุดเก็บกู้สารเคมีเข้าร่วมดำเนินการ 

เวลา 10.25 น. ชุดเก็บกู้สารเคมีถึงที่เกิดเหตุ เจ้าหน้าที่ได้นำถังสารเคมีที่รั่วไหลออกมาจากอาคารและทำการ เคลื่อนย้ายเพื่อนำไปทำลายโดยการฝังกลบที่โรงขยะหนองแขม 

เครดิตภาพ @boonwipa11 ห้องอุรุพงษ์",0,,0,,FB:FM91 Trafficpro,ไม่ระเบิด
364,27/04/2022,สมุทรปราการ,6,อุบัติเหตุขนส่ง,ดีเซลและน้ำมันปาล์ม,การจราจร/ขนส่ง,"""ยักษ์ ชน ยักษ์"" บนถนนเทพรัตน ขาออก กม.16 มีน้ำมันรั่วไหลเต็มถนน จนท.เร่งดำเนินการ #รถติด 

เมื่อเวลา 03.20 น. วันที่ 27 เมษายน 2565 รับแจ้งจากมูลนิธิร่วมกตัญญู ถนนเทพรัตน ขาออก ช่วง กม.18 ในช่องทางหลัก อุบัติเหตุ รถบรรทุก 18 ล้อ ทะเบียน ระยอง ชนกับรถเทรลเลอร์ บรรทุกน้ำมันปาล์ม มีผู้บาดเจ็บอาการเล็กน้อย อาสากู้ภัยช่วยเหลือปฐมพยาบาล พื้นที่ สภ.บางพลี 

ส่วนในจุดเกิดเหตุ มีน้ำมันทั้งดีเซลและน้ำมันปาล์ม รั่วไหลบนพื้นผิวการจราจร เจ้าหน้าที่ต้องปิดการจราจร เพื่อชำระล้างทำความสะอาด แจ้งผู้ใช้เส้นทางตามหลัง ให้เบี่ยงไปคู่ขนานสะดวกกว่า 

เพิ่มเติมกรณีอุบัติเหตุ รถบรรทุก ชนกัน 2 คัน ถนนเทพรัตน (บางนา-ตราด) ขาออก กม.16 เจ้าหน้าที่ปิดการจราจรช่องทางด่วนชั่วคราว อยู่ระหว่างดำเนินการทำความสะอาดคราบน้ำมันปาล์ม การจราจรติดขัดมาก ท้ายสะสม กม.11 
. 
Cr.ดับเพลิงและกู้ภัย บางโฉลง สถานีหลัก , fm91",0,,0,,FB:ข่าวสารเมืองปราการ v2,ไม่ระเบิด
365,28/04/2022,ชลบุรี,6,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,"ชลบุรี-ไฟไหม้โรงงานรีไซเคิลพลาสติก 
เมื่อเวลา 19.20 น. ของวันที่ 28 เมษายน 2565 เกิดเพลิงไหม้ โรงงานรีไซเคิลพลาสติก พื้นที่ ต.หนองซ้ำซาก อ.บ้านบึง จ.ชลบุรี กำลังอาสาสมัครดับเพลิงภาคตะวันออกพร้อมรถดับเพลิงจาก เทศบาลตำบลหนองซ้ำซาก เทศบาลเมืองบ้านบึง อบต.มาบไผ่ อบต.หนองรี และ มูลนิธิศีลธรรมสมาคม ออกตรวจสอบ 
ที่เกิดเหตุชื่อ บริษัท สุขใส พลาสติกจำกัด ตั้งอยู่เลขที่ 2/4 หมู่ 3 ต.หนองซ้ำซาก อ.บ้านบึง จ.ชลบุรี ประกอบกิจการ รีไซเคิล พลาสติก เพลิงลุกไหม้ กองพลาสติก และ โกดังเก็บของ ได้รับความเสียหาย ไม่มีผู้ได้รับบาดเจ็บหรือเสียชีวิต เพลิงสงบเวลาประมาณ 20.10 น. สาเหตุเพลิงไหม้อยู่ระหว่างตรวจสอบ",0,,0,,FB :Fire & Rescue Thailand,ไม่ระเบิด
366,16/05/2022,สมุทรปราการ,6,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,"เมื่อเวลา 11.30 น. ที่ผ่านมา เกิดเหตุเพลิงไหม้โรงงานผลติน้ำผลไม้ภายริมถนนรถรางสายเก่า ใกล้เคียงวัดโยธินประดิษฐ์ จังหวัดสมุทรปราการ โดยต้นเพลิงเกิดขึ้นภายในโรงงานและลุกลามอย่างรวดเร็ว จากภาพมุมสูงที่ทีมข่าวขึ้นบินเหนือที่เกิดเหตุจะเห็นได้ว่าขณะนี้แส้งเพลิงเต็มพื้นที่และกำลังลุกลามเข้าโรงงานข้างเคียง ขณะที่รถดับเพลิงไม่สามารถเข้าถึงต้นเพลิงได้เนื่องจากมีรายงานตัวอาคารเริ่มทรุดตัว พื้นที่มีความเสี่ยงสูง ส่วนรถดับเพลิงด้านนออกทำได้แค่ฉีดน้ำหล่อเลี้ยงแต่ก็มีบางจุดที่ฉีดไม่ถึงต้นเพลิง

ขณะนี้เจ้าหน้าที่ระดมดับเพลิงใกล้เคียงเข้าสนับสนุน โดยที่เกิดเหตุมีลมค่อนข้างแรง ประกอบกับภายในโรงงานมีเชื้อเพลิงและสารเคมีไวไฟประเภทืไฮโดรเจน จำนวนมากจึงกลายเป็นเชื้อเพลิงอย่างดี

เบื้องต้นมีรายงานว่าภายในโรงานแห่งนี้มีถังกักเก็บสารไวไฟขนาดใหญ่อยู่ภายในโรงาน เกรงว่าจะเกิดการระเบิดใหญ่ขึ้น เจ้าหน้าที่จึงสั่งกำลังถอนออกด้านนอกและเตรียมรองรับสถานการณ์

ล่าสุด 13.30 น. เจ้าหน้าที่ประกาศภาวะฉุกเฉินระดับ 2 เนื่องจากที่เกิดเหตุมีถังไฮโดรเจนขนาดใหญ่สะสมความร้อนมานานเกรงว่าจะเกิดการระเบิดสั่งอพยพดับเพลิงออกจากด้านในและเรียกประชุมด่วนทีมดับเพลิงเพิ่อวางแผนการปฎิบัติ",2,ไม่ทราบ,0,,website: MONO29,ไม่ระเบิด
367,16/05/2022,กรุงเทพมหานคร,13,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โรงงาน,เวลา 20.52 น. เหตุเพลิงไหม้โกดังเก็บถังพลาสติกจำนวนมาก ระหว่างซอยพระรามที่ 2 ซอย 83-85 เขตบางขุนเทียน เจ้าหน้าที่สถานีดับเพลิงและกู้ภัยบางขุนเทียนถึงที่เกิดเหตุ เพลิงอยู่ระหว่างลุกไหม้,0,,0,,FB :Fire & Rescue Thailand,ไม่ระเบิด
368,25/05/2022,ยโสธร,10,ไฟไหม้,วัสดุประเภทพลาสติก/ยาง/โฟม,โกดัง,"เมื่อเวลา 21.00 น. ของวันที่ 25 พฤษภาคม 2565 เกิดเหตุเพลิงไหม้ โกดังขายยางรถยนต์มือสอง บริเวณถนนชยางกูร หน้าวัดป่าโพธิ์เฉลิมราช ต.โคกสำราญ อ.เลิงนกทา จ.ยโสธร เจ้าหน้าที่ดับเพลิงพร้อมรถน้ำ รถดับเพลิงจาก อบต.โคกสำราญ และหน่วยงานข้างเคียง ระดมกำลังไปตรวจสอบ 
ที่เกิดเหตุลักษณะเป็นอาคารโกดังเก็บยางขนาดใหญ่ ไฟได้ไหม้ลุกลามอย่างรวดเร็วเป็นบริเวณกว้าง ทำให้ควบคุมสถานการณ์ได้ยาก ส่งผลให้เจ้าหน้าที่ต้องใช้เวลานานในการดับไฟ และสามารถควบคุมเพลิงได้ เวลาประมาณ 22.00 น.ความเสียหายอยู่ระหว่างการตรวจสอบ เบื้องต้นไม่มีผู้ได้รับบาดเจ็บและเสียชีวิต",0,,0,,FB :Fire & Rescue Thailand,ไม่ระเบิด
369,04/06/2022,ฉะเชิงเทรา,6,ไฟไหม้,วัสดุรีไซเคิล,อาคารพาณิชย์/สํานักงาน/ร้านจําหน่าย,"ไฟไหม้กองวัสดุร้านรีไซเคิล จ.ฉะเชิงเทรา 
เมื่อเวลา 15:00 น.ของวันที่ 4 มิถุนายน 2565 เกิดเหตุเพลิงไหม้ภายในร้านรีไซเคิล พื้นที่ ต.หนองแหน อ.พนมสารคาม จ.ฉะเชิงเทรา กำลังอาสาสมัครดับเพลิงภาคตะวันออก พร้อมรถอุปกรณ์ดับเพลิงจำนวน 2 คันและรถน้ำดับเพลิงจำนวน 1 คัน เข้าสนับสนุนในที่เกิดเหตุ ร่วมกับ รถดับเพลิงองค์การบริหารส่วนตำบลหัวสำโรง รถดับเพลิงองค์การบริหารส่วนตำบลหนองแหน รถดับเพลิงเทศบาลตำบลคู้ยายหมี และอาสาสมัครกู้ภัยพนม 
ที่เกิดเหตุเพลิงลุกไหม้ลักษณะกลองวัสดุรีไซเคิลจึงดำเนินการใช้น้ำ 3 หัวฉีดทำการควบคุมเพลิงใช้เวลากว่า 30 นาทีจึงสามารถควบคุมเพลิงไว้ได้และสงบในเวลาต่อมาในที่กระเดชไม่มีผู้ใดได้รับบาดเจ็บและเสียชีวิตสาเหตุอยู่ระหว่างการสอบสวนของทางเจ้าหน้าที่",0,,0,,FB :Fire & Rescue Thailand,ไม่ระเบิด
370,06/06/2022,ระยอง,6,ไฟไหม้,สี/ทินเนอร์/ตัวทำละลาย,โรงงาน,"วันที่ 6 มิถุนายน 2565 ทีม SAT ประจำสัปดาห์ ได้รับแจ้งจากงานโรคจากการประกอบอาชีพและสิ่งแวดล้อม กลุ่มโรคไม่ติดต่อ สคร.6 ชลบุรี ว่าเวลาประมาณ 13.49 น. เกิดเหตุเพลิงไหม้โรงงานเอกชนแห่งหนึ่ง บริเวณห้องพ่นสีภายในโรงงาน ในพื้นที่ตำบลมะขามคู่ อำเภอนิคมพัฒนา จังหวัดระยอง ลักษณะโรงงานเป็นโรงงานทำเฟอร์นิเจอร์ในบ้านสมัยใหม่ ใช้วัสดุในการผลิตเฟอร์นิเจอร์ เช่น MDF, PB, Veneer, ไม้ปิดผิวกระดาษ ไม้ปิดผิว PVC, ไม้ปิดผิวเมลามีน, ไม้ปิดผิวลามิเนต ผสมกับส่วนประกอบของเหล็ก, อลูมิเนียม และโลหะ หน่วยงานเข้าให้การช่วยเหลือประกอบด้วย ทต.มะขามคู่ อบต.พนานิคม อบต.นิคมพัฒนา ทต.มาบข่า และ ทต.มาบข่าพัฒนา รถดับเพลิง จำนวน 5 คัน เจ้าหน้าที่ จำนวน 50 คน",2,ไม่ทราบ,0,,Event-based DDC,ไม่ระเบิด
