period_ym,year_ce,month_num,category_level,sector,group_name,category_name,price_index,mom_pct,yoy_pct,aoa_pct,base_year,source_file
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,เสื้อผ้าเครื่องแต่งกาย,เครื่องแต่งกายที่ทำจากการถักนิตและโครเชต์,104.3,0.1,0.1,-0.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,เครื่องหนังและผลิตภัณฑ์,เครื่องหนังและผลิตภัณฑ์,102.6,0.6,0.6,-0.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,เครื่องหนังและผลิตภัณฑ์,หนังฟอก กระเป๋าเดินทาง กระเป๋าถือ และผลิตภัณฑ์หนังอื่นๆ,102.8,0.0,-0.5,-0.5,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,เครื่องหนังและผลิตภัณฑ์,รองเท้า,102.9,1.7,2.3,0.3,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,ไม้และผลิตภัณฑ์จากไม้,ไม้และผลิตภัณฑ์จากไม้,103.9,0.4,1.3,0.6,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ไม้และผลิตภัณฑ์จากไม้,ไม้ที่ได้จากการเลื่อยและไส,105.7,0.9,3.6,1.8,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ไม้และผลิตภัณฑ์จากไม้,ผลิตภัณฑ์จากไม้,103.2,0.2,0.4,0.2,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,กระดาษและผลิตภัณฑ์กระดาษ,กระดาษและผลิตภัณฑ์กระดาษ,105.3,1.0,0.0,-0.2,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,สิ่งพิมพ์และสิ่งที่เกี่ยวข้องกับการพิมพ์,สิ่งพิมพ์และสิ่งที่เกี่ยวข้องกับการพิมพ์,102.8,0.0,-3.7,-3.7,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,สิ่งพิมพ์และสิ่งที่เกี่ยวข้องกับการพิมพ์,บริการพิมพ์และบริการที่เกี่ยวข้องกับการพิมพ์,102.8,0.0,-3.7,-3.7,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์ที่ได้จากการกลั่นปิโตรเลียม,ผลิตภัณฑ์ที่ได้จากการกลั่นปิโตรเลียม,208.3,14.6,93.6,28.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์ที่ได้จากการกลั่นปิโตรเลียม,ผลิตภัณฑ์ที่ได้จากการกลั่นปิโตรเลียม,208.3,14.6,93.6,28.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,เคมีภัณฑ์และผลิตภัณฑ์เคมี,เคมีภัณฑ์และผลิตภัณฑ์เคมี,102.6,6.7,5.9,-1.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,เคมีภัณฑ์และผลิตภัณฑ์เคมี,เคมีภัณฑ์ขั้นมูลฐาน ปุ๋ยเคมีและสารประกอบไนโตรเจน พลาสติกและยางสังเคราะห์ขั้นต้น,102.6,8.7,7.7,-1.3,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,เคมีภัณฑ์และผลิตภัณฑ์เคมี,ผลิตภัณฑ์เคมีอื่นๆ,103.0,0.0,0.0,-0.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์ทางเภสัชกรรม,ผลิตภัณฑ์ทางเภสัชกรรม,96.1,-0.1,0.0,0.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์ยางและพลาสติก,ผลิตภัณฑ์ยางและพลาสติก,109.8,5.5,5.2,-1.5,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์ยางและพลาสติก,ผลิตภัณฑ์ยาง,109.8,2.1,1.9,-4.6,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์ยางและพลาสติก,ผลิตภัณฑ์พลาสติก,109.5,8.0,8.5,2.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์ที่ทำจากแร่อโลหะ,ผลิตภัณฑ์ที่ทำจากแร่อโลหะ,108.1,1.2,0.7,0.2,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์ที่ทำจากแร่อโลหะ,แก้วและผลิตภัณฑ์แก้ว,98.2,0.0,-1.3,-1.3,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์ที่ทำจากแร่อโลหะ,ผลิตภัณฑ์อื่นๆ ที่ทำจากแร่อโลหะ ซึ่งมิได้จัดประเภทไว้ในที่อื่น,112.2,1.7,1.5,0.7,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,โลหะขั้นมูลฐาน,โลหะขั้นมูลฐาน,100.2,6.9,6.0,-0.7,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,โลหะขั้นมูลฐาน,เหล็กและเหล็กกล้าขั้นมูลฐาน,100.2,6.9,6.0,-0.7,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์โลหะประดิษฐ์,ผลิตภัณฑ์โลหะประดิษฐ์,103.7,0.1,0.1,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์โลหะประดิษฐ์,ผลิตภัณฑ์ที่มีโครงสร้างเป็นโลหะ และภาชนะบรรจุที่ทำจากโลหะ,103.6,0.3,-0.1,-0.3,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์โลหะประดิษฐ์,ผลิตภัณฑ์โลหะประดิษฐ์อื่นๆ,103.8,0.1,0.3,0.1,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์คอมพิวเตอร์ และอิเล็กทรอนิกส์,ผลิตภัณฑ์คอมพิวเตอร์ และอิเล็กทรอนิกส์,99.9,0.4,-0.6,-2.2,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์คอมพิวเตอร์ และอิเล็กทรอนิกส์,ชิ้นส่วนและแผ่นวงจรอิเล็กทรอนิกส์,98.2,0.4,-3.3,-4.3,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์คอมพิวเตอร์ และอิเล็กทรอนิกส์,คอมพิวเตอร์และอุปกรณ์ต่อพ่วง,100.8,0.6,0.7,-1.5,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,ผลิตภัณฑ์คอมพิวเตอร์ และอิเล็กทรอนิกส์,เครื่องอุปกรณ์ที่ใช้ในการวัด การทดสอบ และนาฬิกา,100.0,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,อุปกรณ์ไฟฟ้า,อุปกรณ์ไฟฟ้า,100.5,0.1,-0.3,-0.3,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,อุปกรณ์ไฟฟ้า,มอเตอร์ไฟฟ้า เครื่องกำเนิดไฟฟ้า หม้อแปลงไฟฟ้า และอุปกรณ์ควบคุมและจ่ายไฟฟ้า,99.3,0.0,-0.3,-0.4,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,อุปกรณ์ไฟฟ้า,แบตเตอรี่และหม้อสะสมไฟฟ้า,102.2,2.0,2.0,0.5,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,อุปกรณ์ไฟฟ้า,สายไฟและอุปกรณ์การเดินสายไฟฟ้า,108.9,0.3,3.1,3.8,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,อุปกรณ์ไฟฟ้า,อุปกรณ์ไฟฟ้าสำหรับให้แสงสว่าง,100.0,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,3,ผลิตภัณฑ์อุตสาหกรรม,อุปกรณ์ไฟฟ้า,เครื่องใช้ในครัวเรือน,96.6,0.0,-2.9,-2.9,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
2026-04,2026,4,2,ผลิตภัณฑ์อุตสาหกรรม,เครื่องจักรและเครื่องมือ,เครื่องจักรและเครื่องมือ,107.7,0.0,0.0,0.0,2564 = 100,ดัชนีราคาผู้ผลิต_(เม.ย 69).xlsx
