ปี,ฤดูกาล,อำเภอ,ประเภทข้าว,จำนวน,หน่วย
2566,ข้าวนาปี,อำเภอบ้านโพธิ์,ข้าวเจ้า,12795,ตัน
2566,ข้าวนาปี,อำเภอบ้านโพธิ์,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปี,อำเภอพนมสารคาม,ข้าวเจ้า,44124,ตัน
2566,ข้าวนาปี,อำเภอพนมสารคาม,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปี,อำเภอราชสาส์น,ข้าวเจ้า,26736,ตัน
2566,ข้าวนาปี,อำเภอราชสาส์น,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปี,อำเภอสนามชัยเขต,ข้าวเจ้า,17748,ตัน
2566,ข้าวนาปี,อำเภอสนามชัยเขต,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปี,อำเภอแปลงยาว,ข้าวเจ้า,6766,ตัน
2566,ข้าวนาปี,อำเภอแปลงยาว,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปี,อำเภอท่าตะเกียบ,ข้าวเจ้า,5444,ตัน
2566,ข้าวนาปี,อำเภอท่าตะเกียบ,ข้าวเหนียว,437,ตัน
2566,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,ข้าวเจ้า,42570,ตัน
2566,ข้าวนาปรัง,อำเภอเมืองฉะเชิงเทรา,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปรัง,อำเภอบางคล้า,ข้าวเจ้า,8974,ตัน
2566,ข้าวนาปรัง,อำเภอบางคล้า,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,ข้าวเจ้า,81982,ตัน
2566,ข้าวนาปรัง,อำเภอบางน้ำเปรี้ยว,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปรัง,อำเภอบางปะกง,ข้าวเจ้า,3691,ตัน
2566,ข้าวนาปรัง,อำเภอบางปะกง,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปรัง,อำเภอบ้านโพธิ์,ข้าวเจ้า,5839,ตัน
2566,ข้าวนาปรัง,อำเภอบ้านโพธิ์,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปรัง,อำเภอพนมสารคาม,ข้าวเจ้า,17673,ตัน
2566,ข้าวนาปรัง,อำเภอพนมสารคาม,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปรัง,อำเภอราชสาส์น,ข้าวเจ้า,21255,ตัน
2566,ข้าวนาปรัง,อำเภอราชสาส์น,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปรัง,อำเภอสนามชัยเขต,ข้าวเจ้า,5685,ตัน
2566,ข้าวนาปรัง,อำเภอสนามชัยเขต,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปรัง,อำเภอแปลงยาว,ข้าวเจ้า,2031,ตัน
2566,ข้าวนาปรัง,อำเภอแปลงยาว,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปรัง,อำเภอท่าตะเกียบ,ข้าวเจ้า,878,ตัน
2566,ข้าวนาปรัง,อำเภอท่าตะเกียบ,ข้าวเหนียว,0,ตัน
2566,ข้าวนาปรัง,อำเภอคลองเขื่อน,ข้าวเจ้า,13632,ตัน
2566,ข้าวนาปรัง,อำเภอคลองเขื่อน,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปี,อำเภอคลองเขื่อน,ข้าวเจ้า,23886,ตัน
2565,ข้าวนาปี,อำเภอคลองเขื่อน,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปี,อำเภอบางคล้า,ข้าวเจ้า,10451,ตัน
2565,ข้าวนาปี,อำเภอบางคล้า,ข้าวเหนียว,0,ตัน
2565,ข้าวนาปี,อำเภอบางน้ำเปรี้ยว,ข้าวเจ้า,190172,ตัน
2565,ข้าวนาปี,อำเภอบางน้ำเปรี้ยว,ข้าวเหนียว,0,ตัน
