ปี,อำเภอ,ฤดูกาล,ประเภท,จำนวน,หน่วย
2565,อำเภอราชสาส์น,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอสนามชัยเขต,ข้าวนาปี,ข้าวเจ้า,400,กิโลกรัม
2565,อำเภอสนามชัยเขต,ข้าวนาปี,ข้าวเหนียว,404.23,กิโลกรัม
2565,อำเภอแปลงยาว,ข้าวนาปี,ข้าวเจ้า,601.86,กิโลกรัม
2565,อำเภอแปลงยาว,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอท่าตะเกียบ,ข้าวนาปี,ข้าวเจ้า,0,กิโลกรัม
2565,อำเภอท่าตะเกียบ,ข้าวนาปี,ข้าวเหนียว,415.16,กิโลกรัม
2565,อำเภอคลองเขื่อน,ข้าวนาปี,ข้าวเจ้า,942.18,กิโลกรัม
2565,อำเภอคลองเขื่อน,ข้าวนาปี,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปรัง ,ข้าวเจ้า,781.15,กิโลกรัม
2565,อำเภอเมืองฉะเชิงเทรา,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอบางคล้า,ข้าวนาปรัง ,ข้าวเจ้า,866.49,กิโลกรัม
2565,อำเภอบางคล้า,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอบางน้ำเปรี้ยว,ข้าวนาปรัง ,ข้าวเจ้า,800,กิโลกรัม
2565,อำเภอบางน้ำเปรี้ยว,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอบางปะกง,ข้าวนาปรัง ,ข้าวเจ้า,790.67,กิโลกรัม
2565,อำเภอบางปะกง,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอบ้านโพธิ์,ข้าวนาปรัง ,ข้าวเจ้า,842.68,กิโลกรัม
2565,อำเภอบ้านโพธิ์,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอพนมสารคาม,ข้าวนาปรัง ,ข้าวเจ้า,700,กิโลกรัม
2565,อำเภอพนมสารคาม,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอราชสาส์น,ข้าวนาปรัง ,ข้าวเจ้า,715.23,กิโลกรัม
2565,อำเภอราชสาส์น,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอสนามชัยเขต,ข้าวนาปรัง ,ข้าวเจ้า,0,กิโลกรัม
2565,อำเภอสนามชัยเขต,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอแปลงยาว,ข้าวนาปรัง ,ข้าวเจ้า,600,กิโลกรัม
2565,อำเภอแปลงยาว,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอท่าตะเกียบ,ข้าวนาปรัง ,ข้าวเจ้า,0,กิโลกรัม
2565,อำเภอท่าตะเกียบ,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
2565,อำเภอคลองเขื่อน,ข้าวนาปรัง ,ข้าวเจ้า,994.76,กิโลกรัม
2565,อำเภอคลองเขื่อน,ข้าวนาปรัง ,ข้าวเหนียว,0,กิโลกรัม
